pair_id,subset,program,group,status,acc_percent,hit_at_1,hit_at_3,mrr,ranking_queries,ranking_missing,t_se,t_align,t_smt,t_total,pruning_rate_percent,total_candidate_pairs,aligned_pairs,correct_pairs,smt_calls,command,stdout_path,stderr_path,trace_paths,ground_truth,prediction,confusion,error
Airy/MAX_Eq,Airy,MAX_Eq,naive,ok,50.0,50.0,100.0,0.75,2,0,1.55323,2.1042000000193184e-05,0.3360464624129236,1.8892975044129239,-400.0,4,2,1,20,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Airy/MAX/Eq/paths --naive --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Airy/MAX_Eq/naive_report.json --program-ground-truth true,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_Eq/naive.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_Eq/naive.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_Eq/naive.trace.jsonl,True,True,TP,
Airy/MAX_Eq,Airy,MAX_Eq,veribin_align,ok,50.0,100.0,100.0,1.0,2,0,1.55323,0.0009539169999999153,0.3122896240092814,1.8664735410092814,-450.0,4,2,1,22,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Airy/MAX/Eq/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/rankings/Airy/MAX_Eq/veribin.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Airy/MAX_Eq/veribin_report.json --program-ground-truth true,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_Eq/veribin_align.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_Eq/veribin_align.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_Eq/veribin_align.trace.jsonl,True,True,TP,
Airy/MAX_Eq,Airy,MAX_Eq,fmcad_align,ok,50.0,100.0,100.0,1.0,2,0,1.55323,0.005785582999999761,0.31300762109458447,1.8720232040945843,-450.0,4,2,1,22,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Airy/MAX/Eq/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/rankings/Airy/MAX_Eq/fmcad.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Airy/MAX_Eq/fmcad/verification_report.json --program-ground-truth true,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_Eq/fmcad_verify.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_Eq/fmcad_verify.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_Eq/fmcad_verify.trace.jsonl,True,True,TP,
Airy/MAX_NEq,Airy,MAX_NEq,naive,ok,100.0,50.0,100.0,0.75,2,0,1.5566879999999998,5.758399999988839e-05,0.15649529173970222,1.713240875739702,-250.0,4,1,1,14,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Airy/MAX/NEq/paths --naive --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Airy/MAX_NEq/naive_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_NEq/naive.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_NEq/naive.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_NEq/naive.trace.jsonl,False,False,TN,
Airy/MAX_NEq,Airy,MAX_NEq,veribin_align,ok,100.0,100.0,100.0,1.0,2,0,1.5566879999999998,0.0006603749999998243,0.1597858751192689,1.7171342501192686,-250.0,4,1,1,14,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Airy/MAX/NEq/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/rankings/Airy/MAX_NEq/veribin.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Airy/MAX_NEq/veribin_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_NEq/veribin_align.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_NEq/veribin_align.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_NEq/veribin_align.trace.jsonl,False,False,TN,
Airy/MAX_NEq,Airy,MAX_NEq,fmcad_align,ok,100.0,100.0,100.0,1.0,2,0,1.5566879999999998,0.0031749590000003103,0.15470362384803593,1.714566582848036,-250.0,4,1,1,14,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Airy/MAX/NEq/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/rankings/Airy/MAX_NEq/fmcad.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Airy/MAX_NEq/fmcad/verification_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_NEq/fmcad_verify.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_NEq/fmcad_verify.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/MAX_NEq/fmcad_verify.trace.jsonl,False,False,TN,
Airy/Sign_Eq,Airy,Sign_Eq,naive,ok,25.0,25.0,75.0,0.5208333333333333,4,0,1.564116,1.4291999999471727e-05,0.4443368308711797,2.0084671228711795,-137.5,16,4,1,38,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Airy/Sign/Eq/paths --naive --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Airy/Sign_Eq/naive_report.json --program-ground-truth true,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/Sign_Eq/naive.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/Sign_Eq/naive.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/Sign_Eq/naive.trace.jsonl,True,True,TP,
Airy/Sign_Eq,Airy,Sign_Eq,veribin_align,ok,25.0,100.0,100.0,1.0,4,0,1.564116,0.0005894580000003202,0.4260263361502439,1.9907317941502443,-125.0,16,4,1,36,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Airy/Sign/Eq/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/rankings/Airy/Sign_Eq/veribin.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Airy/Sign_Eq/veribin_report.json --program-ground-truth true,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/Sign_Eq/veribin_align.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/Sign_Eq/veribin_align.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/Sign_Eq/veribin_align.trace.jsonl,True,True,TP,
Airy/Sign_Eq,Airy,Sign_Eq,fmcad_align,ok,25.0,100.0,100.0,1.0,4,0,1.564116,0.003123041999999465,0.4232764202170074,1.990515462217007,-125.0,16,4,1,36,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Airy/Sign/Eq/paths --ranking /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/rankings/Airy/Sign_Eq/fmcad.json --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Airy/Sign_Eq/fmcad/verification_report.json --program-ground-truth true,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/Sign_Eq/fmcad_verify.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/Sign_Eq/fmcad_verify.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/Sign_Eq/fmcad_verify.trace.jsonl,True,True,TP,
Airy/Sign_NEq,Airy,Sign_NEq,naive,ok,50.0,25.0,75.0,0.5208333333333333,4,0,1.56166,1.0832999999266235e-05,0.5285807861946523,2.0902516191946514,-187.5,16,2,1,46,symbolic_analysis/.venv312/bin/python /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/verify_ranked_path_equivalence.py --paths-dir /Users/zzk/Desktop/symbolicana/benchmarks/ardiff_paths/cases/Airy/Sign/NEq/paths --naive --out /Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/raw/Airy/Sign_NEq/naive_report.json --program-ground-truth false,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/Sign_NEq/naive.stdout.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/Sign_NEq/naive.stderr.txt,/Users/zzk/Desktop/symbolicana/evaluation_results_ardiff/logs/Airy/Sign_NEq/naive.trace.jsonl,False,False,TN,
